Местоположение;Управляющая программа;Имя;Тип;Идентификатор объекта;ID устройства;Имя объекта
/БЦ;ЩУОК-1;Статус МП;BBI;BI:12;DEV:2400028;pulse_relay_st_12
/БЦ;ЩУОК-1;Команда на МП;BBO;BO:12;DEV:2400028;pulse_relay_cmd_12
/БЦ;ЩУОК-1;equip_st;BMSV;MSV:12;DEV:2400028;equip_st_12
/БЦ;ЩУОК-1;Режим упр. обогревом;BMSV;MSV:13;DEV:2400028;light_ctrl_mod_12
/БЦ;ЩУОК-1;Нет ответа от МП обогрева;BALM;BV:68;DEV:2400028;light_cont_flt_12
/БЦ;ЩУОК-2;Статус МП;BBI;BI:13;DEV:2400028;pulse_relay_st_13
/БЦ;ЩУОК-2;Команда на МП;BBO;BO:13;DEV:2400028;pulse_relay_cmd_13
/БЦ;ЩУОК-2;equip_st;BMSV;MSV:14;DEV:2400028;equip_st_13
/БЦ;ЩУОК-2;Режим упр. обогревом;BMSV;MSV:15;DEV:2400028;light_ctrl_mod_13
/БЦ;ЩУОК-2;Нет ответа от МП обогрева;BALM;BV:70;DEV:2400028;light_cont_flt_13
/БЦ;ПВ-20-1;Темпер. выт. воздуха;BAI;AI:13;DEV:2400026;eat_1
/БЦ;ПВ-20-1;Темпер. выт. воздуха после рекуператора;BAI;AI:14;DEV:2400026;eat_rcp_1
/БЦ;ПВ-20-1;Темпер. наруж. воздуха;BAI;AI:15;DEV:2400026;oat_loc_1
/БЦ;ПВ-20-1;Темпер. обр. воды;BAI;AI:16;DEV:2400026;rwt_1
/БЦ;ПВ-20-1;Темпер. прит. воздуха;BAI;AI:17;DEV:2400026;sat_1
/БЦ;ПВ-20-1;Рабочий уровень в баке подпитки;BBI;BI:29;DEV:2400026;bi_1_1
/БЦ;ПВ-20-1;Верхний уровень в баке подпитки;BBI;BI:36;DEV:2400026;bi_2_1
/БЦ;ПВ-20-1;Ст. переп. давл. выт. воздуха на фильтре;BBI;BI:1;DEV:2400026;ea_filt_st_1
/БЦ;ПВ-20-1;Ст. переп. давл. прит. воздуха на фильтре 1;BBI;BI:2;DEV:2400026;sa_filt_st_1_1
/БЦ;ПВ-20-1;Ст. переп. давл. прит. воздуха на фильтре 2;BBI;BI:3;DEV:2400026;sa_filt_st_2_1
/БЦ;ПВ-20-1;Статус МП насоса;BBI;BI:4;DEV:2400026;pmp_cont_st_1
/БЦ;ПВ-20-1;Статус аварии ККБ;BBI;BI:20;DEV:2400026;dx_alm_st_1
/БЦ;ПВ-20-1;Статус аварии рекуператора;BBI;BI:22;DEV:2400026;rcp_alm_st_1
/БЦ;ПВ-20-1;Статус ключа Мест/Дист насоса;BBI;BI:13;DEV:2400026;pmp_loc_rem_key_st_1
/БЦ;ПВ-20-1;Статус работы ККБ;BBI;BI:21;DEV:2400026;dx_run_st_1
/БЦ;ПВ-20-1;Статус работы рекуператора;BBI;BI:23;DEV:2400026;rcp_run_st_1
/БЦ;ПВ-20-1;Статус термореле защиты ТО от заморозки;BBI;BI:17;DEV:2400026;frost_rel_st_1
